"# name","aliases","max apparent mag","max mag date","claimed type","redshift","redshift kind","ra","dec","# of photometric obs.","URL"
"V2491 Cyg","V2491 Cyg","","","","","","","","68","https://sne.space/sne/V2491 Cyg/"
"V2540 Oph","V2540 Oph","","","","","","","","285","https://sne.space/sne/V2540 Oph/"
"V351 Pup","V351 Pup","","","","","","","","151","https://sne.space/sne/V351 Pup/"
"V356 Aql","V356 Aql","","","","","","","","121","https://sne.space/sne/V356 Aql/"
"V373 Sct","V373 Sct","","","","","","","","93","https://sne.space/sne/V373 Sct/"
"V382 Vel","V382 Vel","","","","","","","","119","https://sne.space/sne/V382 Vel/"
"V3890 Sgr","V3890 Sgr","","","","","","","","2674","https://sne.space/sne/V3890 Sgr/"
"V394 CrA","V394 CrA","","","","","","","","504","https://sne.space/sne/V394 CrA/"
"V4021 Sgr","V4021 Sgr","","","","","","","","95","https://sne.space/sne/V4021 Sgr/"
"V4157 Sgr","V4157 Sgr","","","","","","","","0","https://sne.space/sne/V4157 Sgr/"
"V4160 Sgr","V4160 Sgr","","","","","","","","30","https://sne.space/sne/V4160 Sgr/"
"V4169 Sgr","V4169 Sgr","","","","","","","","60","https://sne.space/sne/V4169 Sgr/"
"V4171 Sgr","V4171 Sgr","","","","","","","","0","https://sne.space/sne/V4171 Sgr/"
"V443 Sct","V443 Sct","","","","","","","","90","https://sne.space/sne/V443 Sct/"
"V444 Sct","V444 Sct","","","","","","","","0","https://sne.space/sne/V444 Sct/"
"V4444 Sgr","V4444 Sgr","","","","","","","","68","https://sne.space/sne/V4444 Sgr/"
"V445 Pup","V445 Pup","","","","","","","","84","https://sne.space/sne/V445 Pup/"
"V446 Her","V446 Her","","","","","","","","161","https://sne.space/sne/V446 Her/"
"V4633 Sgr","V4633 Sgr","","","","","","","","102","https://sne.space/sne/V4633 Sgr/"
"V4643 Sgr","V4643 Sgr","","","","","","","","33","https://sne.space/sne/V4643 Sgr/"
"V4739 Sgr","V4739 Sgr","","","","","","","","23","https://sne.space/sne/V4739 Sgr/"
"V4740 Sgr","V4740 Sgr","","","","","","","","78","https://sne.space/sne/V4740 Sgr/"
"V4742 Sgr","V4742 Sgr","","","","","","","","74","https://sne.space/sne/V4742 Sgr/"
"V4743 Sgr","V4743 Sgr","","","","","","","","84","https://sne.space/sne/V4743 Sgr/"
"V4745 Sgr","V4745 Sgr","","","","","","","","112","https://sne.space/sne/V4745 Sgr/"
"V476 Cyg","V476 Cyg","","","","","","","","197","https://sne.space/sne/V476 Cyg/"
"V5114 Sgr","V5114 Sgr","","","","","","","","68","https://sne.space/sne/V5114 Sgr/"
"V5115 Sgr","V5115 Sgr","","","","","","","","32","https://sne.space/sne/V5115 Sgr/"
"V5116 Sgr","V5116 Sgr","","","","","","","","66","https://sne.space/sne/V5116 Sgr/"
"V528 Aql","V528 Aql","","","","","","","","53","https://sne.space/sne/V528 Aql/"
"V533 Her","V533 Her","","","","","","","","211","https://sne.space/sne/V533 Her/"
"V574 Pup","V574 Pup","","","","","","","","107","https://sne.space/sne/V574 Pup/"
"V603 Aql","V603 Aql","","","","","","","","249","https://sne.space/sne/V603 Aql/"
"V693 CrA","V693 CrA","","","","","","","","18","https://sne.space/sne/V693 CrA/"
